Department,CourseNumber,CourseDivision,CourseName,Instructor,CourseDescription,ActiveFlag,Semester,Year,Term,Level,Prerequisites,Lab_Fee_Text,Lab_Fee,Class_Size_Text,Degree_Requirements,Lab_Fee_USD,Class_Size
AD,3014,ADS,Soundscape,"Andrews, Nancy","Soundscape may be defined as an environment of sound (or sonic environment) with emphasis on the way it is perceived and understood by the individual, or by a society. It thus depends upon the relationship between the individual and any such environment. The term may refer to actual environments, or to abstract constructions such as musical compositions and tape montages, particularly when considered as an artificial environment. In this interdisciplinary course we investigate a broad range of acoustic concepts, ranging from a scientific treatment of the nature and behavior of sound both in air and underwater, the biology of hearing, the use of sound by animals in communication, and the cultural applications of sound and music in human society. Students will explore methods of composition using sounds as materials for assigned projects. Various approaches to understanding and experiencing sound will be examined, including spoken word, radio shows, music, and experimental forms. Labs will focus on understanding the nature of sound, and practical application of sound equipment, technique and theory. Students will learn about microphones, sound recording, amplification, and the physics of sound. The course will culminate in a performance to the community of student presentations that expresses the wide use of sound as part of our culture. Evaluation will be based on class participation and a set of assignments, including a final project. Emphasis will be placed on an artistic interpretation of soundscape, although students will be expected to have a basic understanding of the scientific basis of acoustic phenomena.

Level:  Intermediate.  Prerequisites: One AD and one ES course. Class Limit: 12.  Lab fee $60.  Meets the following degree requirements: ADS",TRUE,B21Q,2021,Q,NA,Prerequisites: One AD and one ES course,"Soundscape may be defined as an environment of sound (or sonic environment) with emphasis on the way it is perceived and understood by the individual, or by a society",TRUE,NA,ADS,NA,NA
AD,3014,ADS,Soundscape,"Andrews, Nancy","Soundscape may be defined as an environment of sound (or sonic environment) with emphasis on the way it is perceived and understood by the individual, or by a society. It thus depends upon the relationship between the individual and any such environment. The term may refer to actual environments, or to abstract constructions such as musical compositions and tape montages, particularly when considered as an artificial environment. In this interdisciplinary course we investigate a broad range of acoustic concepts, ranging from a scientific treatment of the nature and behavior of sound both in air and underwater, the biology of hearing, the use of sound by animals in communication, and the cultural applications of sound and music in human society. Students will explore methods of composition using sounds as materials for assigned projects. Various approaches to understanding and experiencing sound will be examined, including spoken word, radio shows, music, and experimental forms. Labs will focus on understanding the nature of sound, and practical application of sound equipment, technique and theory. Students will learn about microphones, sound recording, amplification, and the physics of sound. The course will culminate in a performance to the community of student presentations that expresses the wide use of sound as part of our culture. Evaluation will be based on class participation and a set of assignments, including a final project. Emphasis will be placed on an artistic interpretation of soundscape, although students will be expected to have a basic understanding of the scientific basis of acoustic phenomena.

Level:  Intermediate.  Prerequisites: One AD and one ES course. Class Limit: 12.  Lab fee $60.  Meets the following degree requirements: ADS",TRUE,B18C,2018,C,NA,Prerequisites: One AD and one ES course,"Soundscape may be defined as an environment of sound (or sonic environment) with emphasis on the way it is perceived and understood by the individual, or by a society",TRUE,NA,ADS,NA,NA
AD,3014,ADS,Soundscape,"Andrews, Nancy","Soundscape may be defined as an environment of sound (or sonic environment) with emphasis on the way it is perceived and understood by the individual, or by a society. It thus depends upon the relationship between the individual and any such environment. The term may refer to actual environments, or to abstract constructions such as musical compositions and tape montages, particularly when considered as an artificial environment. In this interdisciplinary course we investigate a broad range of acoustic concepts, ranging from a scientific treatment of the nature and behavior of sound both in air and underwater, the biology of hearing, the use of sound by animals in communication, and the cultural applications of sound and music in human society. Students will explore methods of composition using sounds as materials for assigned projects. Various approaches to understanding and experiencing sound will be examined, including spoken word, radio shows, music, and experimental forms. Labs will focus on understanding the nature of sound, and practical application of sound equipment, technique and theory. Students will learn about microphones, sound recording, amplification, and the physics of sound. The course will culminate in a performance to the community of student presentations that expresses the wide use of sound as part of our culture. Evaluation will be based on class participation and a set of assignments, including a final project. Emphasis will be placed on an artistic interpretation of soundscape, although students will be expected to have a basic understanding of the scientific basis of acoustic phenomena.

Level:  Intermediate.  Prerequisites: One AD and one ES course. Class Limit: 12.  Lab fee $60.  Meets the following degree requirements: ADS",TRUE,B19Q,2019,Q,NA,Prerequisites: One AD and one ES course,"Soundscape may be defined as an environment of sound (or sonic environment) with emphasis on the way it is perceived and understood by the individual, or by a society",TRUE,NA,ADS,NA,NA
AD,4013,ADS,Installation Art: Activating Spaces,"Colbert, Dru","""space in active dialogue with the things and people it contains...""  -RoseLee Golberg, from Space as Praxis
Installation art is one of the most original, vigorous, and fertile forms of contemporary art. 

It often involves working in specific non-art sites where the activation of the place, or context, of artistic intervention is concerned not only with art and its boundaries, but also with the fusion of art and life. Installation art extends the area of practice from the studio to public space. Architects, urban planners, and environmental designers consider similar formal and social aspects of space in the creation of city plans, buildings, and public spaces. Through hands-on projects and a survey of historic and contemporary art and design work, this intermediate level 3D studio course offers an opportunity to explore formal aspects and social contexts of space and time as a medium for making art.

Students will create interior and exterior installations that may incorporate sculptural elements, everyday objects, light, sound, or other devices. Course work will investigate the objective and subjective qualities of space, material, and form, and the meanings created through their juxtaposition. In addition to studio work, we will survey a variety of historic and contemporary contextual art works including: spaces laid out by architects and designers, installation itself as an art form, public art projects, sacred spaces, the work of visionary artists, historic sites, and monuments.  Students will be evaluated on their participation in class activities and critiques, their timely completion of projects, and attendance.

Level: Intermediate/Advanced.  Prerequisites: 3D studio classes in art, architecture, environmental design, performance art or signature of instructor.  Class limit: 10.  Lab fee: $90.  Meets the following degree requirements: ADS",TRUE,B18B,2018,B,Level: Intermediate,"Prerequisites: 3D studio classes in art, architecture, environmental design, performance art or signature of instructor","""space in active dialogue with the things and people it contains",TRUE,: 10,ADS,NA,10
AD,4013,ADS,Installation Art: Activating Spaces,"Colbert, Dru","""space in active dialogue with the things and people it contains...""  -RoseLee Golberg, from Space as Praxis
Installation art is one of the most original, vigorous, and fertile forms of contemporary art. 

It often involves working in specific non-art sites where the activation of the place, or context, of artistic intervention is concerned not only with art and its boundaries, but also with the fusion of art and life. Installation art extends the area of practice from the studio to public space. Architects, urban planners, and environmental designers consider similar formal and social aspects of space in the creation of city plans, buildings, and public spaces. Through hands-on projects and a survey of historic and contemporary art and design work, this intermediate level 3D studio course offers an opportunity to explore formal aspects and social contexts of space and time as a medium for making art.

Students will create interior and exterior installations that may incorporate sculptural elements, everyday objects, light, sound, or other devices. Course work will investigate the objective and subjective qualities of space, material, and form, and the meanings created through their juxtaposition. In addition to studio work, we will survey a variety of historic and contemporary contextual art works including: spaces laid out by architects and designers, installation itself as an art form, public art projects, sacred spaces, the work of visionary artists, historic sites, and monuments.  Students will be evaluated on their participation in class activities and critiques, their timely completion of projects, and attendance.

Level: Intermediate/Advanced.  Prerequisites: 3D studio classes in art, architecture, environmental design, performance art or signature of instructor.  Class limit: 10.  Lab fee: $90.  Meets the following degree requirements: ADS",TRUE,B23C,2023,C,Level: Intermediate,"Prerequisites: 3D studio classes in art, architecture, environmental design, performance art or signature of instructor","""space in active dialogue with the things and people it contains",TRUE,: 10,ADS,NA,10
ED,1013,HS ED,"Changing Schools, Changing Society","Tai, Bonnie","How have schools changed and how should schools change to ensure ""the good life""?  This interdisciplinary, team-taught course examines the potential and limits of a human ecological education as an instrument of enlightened progress and lasting positive social, cultural, and environmental change.  It explores three essential questions about education and its relationship to human development and social progress.  Looking at the role of formal educational institutions and their relationship to government and other social institutions: What is the role of schools in development and social change?  Considering the role of teachers as agents of change: What is the role of the teacher in school/organizational change and community development?  And finally, reflecting on our subjective motives for working in the field of education:  Why do you want to become an educator?   Through course activities such as service-learning in schools and group project work on a contemporary educational phenomenon (e.g., school choice, new technologies for learning, single-sex education), students will learn how educational policy at the federal, state, and local levels impacts teaching and learning, investigate the moral dimensions of the teacher-student relationship, and reflect on the construct of teacher-learners.  Students will be introduced to a variety of educational research methods (i.e, ethnography, case study, quasi-experimental, correlational) that will allow for critical analysis of the knowledge base that strives to impact educational policy and practice. Evaluation will be based on participation, reflective writing, service learning, and group projects and presentations.

Level: Introductory.   Class limit: 15.  Offered every other year. Lab fee: $20.  Meets the following degree requirements: HS, ED",TRUE,B22Q,2022,Q,Level: Introductory,NA,"How have schools changed and how should schools change to ensure ""the good life""?  This interdisciplinary, team-taught course examines the potential and limits of a human ecological education as an instrument of enlightened progress and lasting positive social, cultural, and environmental change",TRUE,: 15,"HS, ED",NA,15
ED,1013,HS ED,"Changing Schools, Changing Society","West, Todd","How have schools changed and how should schools change to ensure ""the good life""?  This interdisciplinary, team-taught course examines the potential and limits of a human ecological education as an instrument of enlightened progress and lasting positive social, cultural, and environmental change.  It explores three essential questions about education and its relationship to human development and social progress.  Looking at the role of formal educational institutions and their relationship to government and other social institutions: What is the role of schools in development and social change?  Considering the role of teachers as agents of change: What is the role of the teacher in school/organizational change and community development?  And finally, reflecting on our subjective motives for working in the field of education:  Why do you want to become an educator?   Through course activities such as service-learning in schools and group project work on a contemporary educational phenomenon (e.g., school choice, new technologies for learning, single-sex education), students will learn how educational policy at the federal, state, and local levels impacts teaching and learning, investigate the moral dimensions of the teacher-student relationship, and reflect on the construct of teacher-learners.  Students will be introduced to a variety of educational research methods (i.e, ethnography, case study, quasi-experimental, correlational) that will allow for critical analysis of the knowledge base that strives to impact educational policy and practice. Evaluation will be based on participation, reflective writing, service learning, and group projects and presentations.

Level: Introductory.   Class limit: 15.  Offered every other year. Lab fee: $20.  Meets the following degree requirements: HS, ED",TRUE,B19Q,2019,Q,Level: Introductory,NA,"How have schools changed and how should schools change to ensure ""the good life""?  This interdisciplinary, team-taught course examines the potential and limits of a human ecological education as an instrument of enlightened progress and lasting positive social, cultural, and environmental change",TRUE,: 15,"HS, ED",NA,15
ED,1014,ED,Child Development,"Alex, Joanne","How does a child think? What causes him/her to learn? What teaching approaches work best with young children? These questions and more will be explored through readings, lectures, field observations, and planned class activities. This course will provide an introduction to early childhood education (preschool to eighth grade). Theorists such as Piaget, Vygotsky, Montessori, Gardner, Erikson, Maslow, Kohlberg, and Gilligan will be used to examine the physical, mental, emotional, moral, and social aspects of childhood growth and development. Students  will explore a range of curriculum models, approaches, and strategies as they learn to apply developmental theory to best practices. These best practices will include  the role of teachers in creating meaningful learning experiences and classroom environments (curriculum), documenting learning, assessment, inclusion, and family involvement. The primary modes of instruction for this class will be lectures, classroom discussions, field observations/reflections, and cooperative hands-on learning activities.  Short reflective papers, an observational journal, and class projects will be used to assess learning. 

Level: Introductory. Class limit: 15. Meets the following degree requirements: ED",TRUE,B18Q,2018,Q,Level: Introductory,NA,"How does a child think? What causes him/her to learn? What teaching approaches work best with young children? These questions and more will be explored through readings, lectures, field observations, and planned class activities",FALSE,: 15,ED,NA,15
ED,1014,ED,Child Development,"Alex, Joanne","How does a child think? What causes him/her to learn? What teaching approaches work best with young children? These questions and more will be explored through readings, lectures, field observations, and planned class activities. This course will provide an introduction to early childhood education (preschool to eighth grade). Theorists such as Piaget, Vygotsky, Montessori, Gardner, Erikson, Maslow, Kohlberg, and Gilligan will be used to examine the physical, mental, emotional, moral, and social aspects of childhood growth and development. Students  will explore a range of curriculum models, approaches, and strategies as they learn to apply developmental theory to best practices. These best practices will include  the role of teachers in creating meaningful learning experiences and classroom environments (curriculum), documenting learning, assessment, inclusion, and family involvement. The primary modes of instruction for this class will be lectures, classroom discussions, field observations/reflections, and cooperative hands-on learning activities.  Short reflective papers, an observational journal, and class projects will be used to assess learning. 

Level: Introductory. Class limit: 15. Meets the following degree requirements: ED",TRUE,B20Q,2020,Q,Level: Introductory,NA,"How does a child think? What causes him/her to learn? What teaching approaches work best with young children? These questions and more will be explored through readings, lectures, field observations, and planned class activities",FALSE,: 15,ED,NA,15
ED,1014,ED,Child Development,"Alex, Joanne","How does a child think? What causes him/her to learn? What teaching approaches work best with young children? These questions and more will be explored through readings, lectures, field observations, and planned class activities. This course will provide an introduction to early childhood education (preschool to eighth grade). Theorists such as Piaget, Vygotsky, Montessori, Gardner, Erikson, Maslow, Kohlberg, and Gilligan will be used to examine the physical, mental, emotional, moral, and social aspects of childhood growth and development. Students  will explore a range of curriculum models, approaches, and strategies as they learn to apply developmental theory to best practices. These best practices will include  the role of teachers in creating meaningful learning experiences and classroom environments (curriculum), documenting learning, assessment, inclusion, and family involvement. The primary modes of instruction for this class will be lectures, classroom discussions, field observations/reflections, and cooperative hands-on learning activities.  Short reflective papers, an observational journal, and class projects will be used to assess learning. 

Level: Introductory. Class limit: 15. Meets the following degree requirements: ED",TRUE,B22Q,2022,Q,Level: Introductory,NA,"How does a child think? What causes him/her to learn? What teaching approaches work best with young children? These questions and more will be explored through readings, lectures, field observations, and planned class activities",FALSE,: 15,ED,NA,15
ES,1030,ES QR,Chemistry II,"Hudson, Reuben","This is the second half of a two-term sequence designed to help students describe and understand properties of materials.  This course begins with a survey of how the internal structure of atoms leads to the formation of different sorts of bonds between them. It then considers how weaker forces can arise between molecules and the sorts of physical phenomena that such forces explain. The class concludes by considering how to describe and explain the rates at which (and the extents to which) chemicals reactions occur and applies such descriptions and explanations to common types of reactions (acid/base and redox).  Throughout the course, examples are drawn from living systems, the natural environment, and industrial products.  The course meets for three hours of lecture/discussion and for three hours of lab each week.  Chemistry 1 is a strongly recommended a prerequisite for this course. Evaluations are based on class participation, homework, midterm and final exams and a term project or paper. 

Level:  Introductory.  Class limit: 30. Lab fee: None.  Meets the following requirements: ES, QR.  Offered every year.",TRUE,B19B,2019,B,NA,NA,This is the second half of a two-term sequence designed to help students describe and understand properties of materials,TRUE,: 30,NA,NA,30
